description,slug,latitude,longitude,isGroundhog,name,city,type,source,region,active,id,shortname,image,currentPrediction,predictionsCount,country
"Holtsville Hal is the true-blue, first-rate North American Groundhog for the proud residents of Holtsville, New York. Hal’s prognostications are presented by Superintendent of Highways Daniel P. Losquadro. (The hot drink of the event is “HALuccino!) Hal’s introductory jingle goes: “Will he see it or will he not? Trust Holtzville Hal, he’s who we’ve got.”",holtsville-hal,40.7967917,-73.0358701,true,Holtsville Hal,Holtsville,Groundhog,https://www.facebook.com/brookhavenwildlifecenter,New York,true,15,Hal,https://groundhog-day.com/images/ghogs/holtsville-hal.jpeg,https://www.newsday.com/long-island/groundhog-day-results-h400plsm,26,USA
"Shubenacadie Sam is a weather-predicting groundhog who resides at the Shubenacadie Wildlife Park in Nova Scotia. Living on the eastern edge of Canada, Sam makes the first prediction in North America every year at 8:00 am AST. Sam is active on Twitter and enjoys yoga and meditation.",shubenacadie-sam,45.0921321,-63.397339,true,Shubenacadie Sam,Shubenacadie,Groundhog,https://data.novascotia.ca/Lands-Forests-and-Wildlife/Shubenacadie-Wildlife-Park-Groundhog-Day-Predictio/4y37-h2yu,Nova Scotia,true,16,Sam,https://groundhog-day.com/images/ghogs/shubenacadie-sam.jpeg,https://twitter.com/ShubenacadieSam/status/1753395520351986102,26,Canada
"Woody the Woodchuck, Michigan’s official clairvoyant groundhog, has been prognosticating for over 2 decades. Unlike the ‘shadow’ technique used by most groundhogs, Woody’s forecast is determined by the time she spends outside on a ceremonial tree stump: 30 seconds or longer means an early spring, any less means a chilly six more weeks of winter.",woody-the-woodchuck,42.523758,-83.9529562,true,Woody the Woodchuck,Howell,Groundhog,https://www.facebook.com/howellnaturecenter,Michigan,true,17,Woody,https://groundhog-day.com/images/ghogs/woody-the-woodchuck.jpeg,https://www.facebook.com/howellnaturecenter/videos/419380407188284,26,USA
"Woodstock Willie is the official weather-predicting groundhog of Woodstock, Illinois. Woodstock is the filming location of the Bill Murray 1993 classic movie, “Groundhog Day”. Woodstock’s Groundhog Day ceremony is well attended, attracting with hundreds of spectators and featuring a Groundhog Polka Band.",woodstock-willie,42.3142948,-88.4477184,true,Woodstock Willie,Woodstock,Groundhog,https://www.facebook.com/WoodstockGroundhogDays/,Illinois,true,18,Willie,https://groundhog-day.com/images/ghogs/woodstock-willie.jpeg,https://abc7chicago.com/woodstock-willie-groundhog-day-2024-sees-shadow-prediction/14380465/,25,USA
"Sir Walter Wally was the official prognosticating groundhog from Raleigh, North Carolina, where he lived at the Museum of Natural Sciences before retiring in 2023. While active, Wally was a media darling and is regularly featured on The Weather Channel’s list of national Groundhog Day representatives. He was also very active on Twitter where he would publish his predictions and subtweet Punxsutawney Phil.",sir-walter-wally,35.7821867,-78.6414861,true,Sir Walter Wally,Raleigh,Groundhog,https://twitter.com/sirwalterw?lang=en,North Carolina,false,19,Wally,https://groundhog-day.com/images/ghogs/sir-walter-wally.jpeg,,23,USA
"Schnogadahl Sammi is a literally unpronounceable taxidermied groundhog mounted on a wooden plank who makes Groundhog Day predictions for Groundhog Lodge #6 near Kresgeville, Pennsylvania. The event was canceled in 2021 and 2022 due to the pandemic, but Sammi returned for a prediction in 2023. The prediction ritual starts with members of the lodge gathering around Sammi, and then giving a welcome, a prayer and a prediction in both English and Pennsylvania Dutch. When he is not the centre of attention on February 2nd, Sammi resides in the unbelievably-named community of Kunkletown.",schnogadahl-sammi,40.9014222,-75.497874,false,Schnogadahl Sammi,Kresgeville,Taxidermied groundhog,https://groundhoglodge.org/schedule/groundhog-lodge-number-6/,Pennsylvania,true,20,Sammi,https://groundhog-day.com/images/ghogs/schnogadahl-sammi.jpeg,https://www.tnonline.com/20240202/sammi-6-more-weeks-of-winter/,23,USA
"Poor Richard is a taxidermied groundhog who prognosticates for the Slumbering Groundhog Lodge, in York, Pennsylvania. The York Slumbering Groundhog Lodge prides itself on carrying on the tradition of recognizing the importance of the groundhog in predicting the weather for the remaining 6 weeks of winter. Very rarely has York’s “Poor Richard” been wrong.",poor-richard,39.9658603,-76.729263,false,Poor Richard,York,Taxidermied groundhog,http://www.yorkslumberinggroundhoglodge.com,Pennsylvania,true,21,Richard,https://groundhog-day.com/images/ghogs/poor-richard.jpeg,https://www.facebook.com/ElksLodge213/posts/pfbid0LT7UMQeKP1NcVqjRS1YFLRewurQqYz9gbTnwuWuwNY6dY7W4czX2DTtrcfR7cqBnl,22,USA
"Balzac Billy is the “Prairie Prognosticator”, a man-sized gopher mascot who prognosticates weather on Groundhog Day from the town of Balzac, Alberta. Billy is not a real groundhog because groundhogs are not native to Alberta. Instead, Billy is more properly a Richardson Ground Squirrel (ie, a gopher) who lives in a man-sized burrow outside the Blue Grass Nursery & Garden Centre. Billy eats seeds, leaves, roots and flowers, as well as some insects, and of course his annual Groundhog Day Breakfast!",balzac-billy,51.1908339,-114.0008889,false,Balzac Billy,Balzac,Person in a gopher suit,https://www.facebook.com/bluegrasscgy,Alberta,true,22,Billy,https://groundhog-day.com/images/ghogs/balzac-billy.jpeg,https://www.facebook.com/bluegrasscgy/posts/pfbid0QMPuXLTLxsSm1Vz5aECnS97UNse4TWZomnBRe3eW63FQpw4D4g2JKYJJf7NKytx4l,20,Canada
"Every year on February 2nd, Myerstown’s favorite groundhog “Uni” is placed on a raft for a ceremonial ride down the Tulpehocken Creek.  After his ride, he makes his weather prediction for the next six weeks. Since 1981, the Union Kanaal Grundsau Lodsch No. 17 has hosted the ceremony, which is performed in both English and the Pennsylvania Dutch language.",uni-the-groundhog,40.4181266,-76.2999232,false,Uni the Groundhog,Myerstown,Taxidermied groundhog,https://www.facebook.com/Grundsau-Lodsch-17-Om-Union-Kanal-598077903658052/,Pennsylvania,true,23,Uni,https://groundhog-day.com/images/ghogs/uni-the-groundhog.jpeg,https://www.facebook.com/permalink.php?story_fbid=pfbid02NZeNPaZHacLuVxRKn3Z313Lak78yzFac2YYbPsK6iYEvwPLsBc9VLw7Ts4Snb1jrl&id=100068885919997,20,USA
"Grover the Groundhog and Sweet Arrow Sue are a taxidermied groundhog couple representing Groundhog Lodge no. 5, from Pine Grove, Pennsylvania. Grover met with tragedy in a roadside accident but doesn’t let that get in the way of his duties as a public figure. He is an ambassador for his species, he predicts the weather, and he promotes recycling because he is recycled. Grover Pinebush was officially married to Sweet Arrow Sue in 2011, making them only married groundhog couple in Pennsylvania.",grover-and-sue,40.5716175,-76.3676593,false,Grover and Sue,Pine Grove,Taxidermied groundhogs,https://www.facebook.com/SweetArrowLake,Pennsylvania,true,24,Grover and Sue,https://groundhog-day.com/images/ghogs/grover-and-sue.jpeg,https://www.skooknews.com/2024/02/schuylkill-countys-grover-groundhog.html,18,USA
"Ms. G has been the official state groundhog of Massachusetts since 2014, after a successful nomination effort from Hunnewell Elementary School students. Ms. G has health issues that prevent her from living alone in the wild, but she fills her day with visiting schools and community groups in her role as an ambassador of the natural world.",ms-g,42.4094032,-71.3339523,true,Ms. G,Lincoln,Groundhog,https://www.facebook.com/MassAudubonDrumlinFarm,Massachusetts,true,25,Ms. G,https://groundhog-day.com/images/ghogs/ms-g.jpeg,https://www.cbsnews.com/boston/news/groundhog-day-massachusetts-ms-g-drumlin-farm-lincoln-2024/,16,USA
"Stormy Marmot is a plush yellow-bellied marmot from Aurora, Colorado. He is one of the few famous groundhogs west of the Mississippi. When he is not predicting the upcoming forecast, Stormy loves travelling the world (voyaging from Texas to Alaska to Hong Kong) and updating his fans on his various social media accounts.",stormy-marmot,39.6890151,-104.8269175,false,Stormy Marmot,Aurora,Plush yellow-bellied marmot,http://www.marmotadventures.com/php/index.php,Colorado,true,26,Stormy,https://groundhog-day.com/images/ghogs/stormy-marmot.jpeg,http://marmotadventures.com/blog/2024/02/02/i-see-spring-on-the-horizon/,17,USA
"Chuckles (XI) presides over the annual Groundhog Day ceremony in Connecticut. Before making his prediction, the 8-month-old groundhog was sworn in as the official state groundhog by the former town mayor, then whispered his prediction into the ear of current mayor. Chuckles comes from a long line of furry prognosticators and resides at the Lutz Children’s Museum, the traditional residence of the Chuckles’.",chuckles-the-groundhog,41.7555391,-72.5221167,true,Chuckles the Groundhog,Manchester,Groundhog,https://www.facebook.com/LutzMuseum,Connecticut,true,27,Chuckles,https://groundhog-day.com/images/ghogs/chuckles-the-groundhog.jpeg,https://www.nbcconnecticut.com/news/local/connecticuts-groundhog-chuckles-predicts-early-spring/3209323/,16,USA
"Stonewall Jackson (VI) is a weather-predicting groundhog from Wantage, New Jersey, where he lives on Space Farms. Stonewall is still “in training” but he is from a proud prognosticating dynasty so he should have a leg up on other would-be weather-guessers.",stonewall-jackson,41.2109112,-74.6968543,true,Stonewall Jackson,Wantage,Groundhog,https://www.facebook.com/spacefarms,New Jersey,true,28,Stonewall,https://groundhog-day.com/images/ghogs/stonewall-jackson.jpeg,https://www.facebook.com/spacefarms/posts/pfbid0ozrcnSR7RmHHCcYtFRy75MBd1LhdGmuk57Tvg84zWoaNc589rzJ62VAjyY8uFNTZl,16,USA
"Flatiron Freddy is a top hat-wearing, yellow-bellied marmot who became a Groundhog Day weather prognosticator about a decade ago. Freddy is stuffed — not with the secret wisdom of unforetold weather events, but with actual stuffing, having died some years ago. Freddy generally chooses to arrive in style: sometimes flying in via zipline, rolling up in a monster truck, or sliding in on his snowboard.",flatiron-freddy,40.0247794,-105.2271559,false,Flatiron Freddy,Boulder,Taxidermied yellow-bellied marmot,https://twitter.com/boulderosmp,Colorado,true,29,Freddy,https://groundhog-day.com/images/ghogs/flatiron-freddy.jpeg,https://twitter.com/boulderosmp/status/1753455572651835475,15,USA
"Snohomish Slew, a frognosticating bullfrog, makes an annual Groundfrog Day weather forecast for the Pacific Northwest in downtown Snohomish. There is much accompanying pomp and ceremony. From Thayer Cueter, Slew’s handler: “The pinnacle celebration moment [is] when Slew whispers his frogcast to his favourite scribe in Groundfrogese. [The] gathered crowd will be ribbeted! by every transcribed word from Slew as he accurately predicts our winter weather fate for six more weeks.”",snohomish-slew,47.812527,-122.3818957,false,Snohomish Slew,Snohomish,Bullfrog,https://www.facebook.com/Thefrogturtlerescuelady/,Washington,true,30,Slew,https://groundhog-day.com/images/ghogs/snohomish-slew.jpeg,https://www.facebook.com/Thefrogturtlerescuelady/posts/pfbid02H7PJq4KToY4kemB3QLeYLNFfkPwXLLVPXB8UPFoLFTaADJYaPg8kczyZLKqcyqX7l,14,USA
"Two Rivers Tunnel is the official prognosticator for Cape Breton, located in Two Rivers Wildlife Park. Tunnel the groundhog lives in a charming green house and speaks in a distinct Groundhogese dialect — most likely native to Cape Breton, where he has been making predictions for over 20 years.",two-rivers-tunnel,45.9364617,-60.3005507,true,Two Rivers Tunnel,Cape Breton,Groundhog,https://www.facebook.com/TwoRiversWildlifePark/,Nova Scotia,true,31,Tunnel,https://groundhog-day.com/images/ghogs/two-rivers-tunnel.jpeg,https://www.facebook.com/TwoRiversWildlifePark/posts/pfbid0wdbQg47T3HArkyF2LvRMtEfGsCj4arPPKuHWhANQWYPbkFp9qm6zmXmpyf8xmy3fl,15,Canada
"Bee Cave Bob has helped Texans predict the early arrival of spring or the prolongment of winter since 2010. Bob is part of a Groundhog Day secessionist movement: with founder T. Booth rechristening it “Armadillo Day,” and stating “we don’t need no mangy groundhog in Pennsylvania predicting the weather for us.” In addition to weather forecasts, Bob also predicts the upcoming year’s partisan lean.",bee-cave-bob,30.304515,-97.93843,false,Bee Cave Bob,Bee Cave,Armadillo,https://twitter.com/beecavebob,Texas,true,32,Bob,https://groundhog-day.com/images/ghogs/bee-cave-bob.jpeg,https://spectrumlocalnews.com/tx/south-texas-el-paso/news/2024/02/02/bee-cave-bob-the-armadillo-2024-prediction,14,USA
"Chilly Charlie is a groundhog mascot who makes the annual Groundhog Day prediction for Woodstock, Ontario. Woodstock’s traditional Groundhog Day celebration/pancake breakfast started in 2003, and has in recent years been modified to a drive-through format.",chilly-charlie,43.124424,-80.7544241,false,Chilly Charlie,Woodstock,Person in a groundhog suit,https://www.facebook.com/southgatectr,Ontario,true,33,Charlie,https://groundhog-day.com/images/ghogs/chilly-charlie.jpeg,https://www.facebook.com/southgatectr/posts/pfbid0249gMwh1D482DfXkGqMUZc7xMqVyqG5Udb5tTpkXASBHp7cUCS5PgEsdQVh1bkqirl,14,Canada
"Fred la marmotte was a prognosticating Quebecois groundhog from Val-d’Espoir in the Gaspésie, Quebec before retiring in 2023. Overwhelmed by his gift of clairvoyance, Fred relied upon his handler and a mascot in his likeness to announce his prediction. Fred was unique in being the only weather-predicting groundhog whose habitat was located on a World Heritage Site, the “Géoparc mondial UNESCO de Percé.”",fred-la-marmotte,48.5143473,-64.3996831,true,Fred la Marmotte,Val-d’Espoir,Groundhog,https://www.fredlamarmotteofficielleduquebec.ca,Quebec,true,34,Fred,https://groundhog-day.com/images/ghogs/fred-la-marmotte.jpeg,https://montrealgazette.com/news/quebec/new-fred-marmotte-groundhog-day-2024-quebec,14,Canada
"Middlemiss Mike is a plush prairie dog prognosticator from Melbourne, Ontario. Jack Galbraith (pictured) started the event in 2007, remarking that weather predictions in faraway Punxatawney aren’t typically accurate in Ontario. Mike’s family grew over the years: in 2008 he met Melbourne Minnie, and in the following years they were blessed with children and friends: Little Wolfe, Maple, Leaf, Alby, and Bobby Jo. JoAnn Galbraith (Jack’s wife) carries on the now-famous tradition with the local village to help pass the winter blues.",middlemiss-mike,42.8156259,-81.5525152,false,Middlemiss Mike,Melbourne,Plush prairie dog,https://www.facebook.com/groups/1007977346248663,Ontario,true,35,Mike,https://groundhog-day.com/images/ghogs/middlemiss-mike.jpeg,https://www.facebook.com/photo/?fbid=776609351159907&set=oa.1085914919214517,14,Canada
"Beardsley Bart is the principal prognosticating prairie dog at Connecticut’s Beardsley Zoo. His official title is Senior Spring Arrival Specialist. Every year, Beardsley Bart says that spring is coming eventually, and he has always been 100 percent correct.",beardsley-bart,41.2097196,-73.1843214,false,Beardsley Bart,Bridgeport,Prairie dog,https://www.facebook.com/ConnecticutsBeardsleyZoo,Connecticut,true,36,Bart,https://groundhog-day.com/images/ghogs/beardsley-bart.jpeg,https://www.facebook.com/ConnecticutsBeardsleyZoo/posts/pfbid02UCHtvXL6VhA88X2GgDdsJUCG228H77wY5n82o465kdYB15y8K18X2sexEa11b3kYl,13,USA
"Sand Mountain Sam is a legendary prognosticating opossum from Albertville, Alabama, who has been making predictions for over a decade. In 2020, the state game warden nearly cancelled the tradition (usually, having a possum as a pet is against the law), but in 2022 Sam returned, emerging from a whiskey barrel to predict an early spring.",sand-mountain-sam,34.1666754,-86.1192772,false,Sand Mountain Sam,Albertville,Opossum,https://www.facebook.com/105wqsb/,Alabama,true,37,Sam,https://groundhog-day.com/images/ghogs/sand-mountain-sam.jpeg,https://www.facebook.com/105wqsb/posts/pfbid0ZQ9fu9xRnD6qNZZosSTpM3aMu43PWrLeC1sgiVUy2NhmGSjB1xViPuPGUt9ZGJsNl,13,USA
"Bowman Bill is the resident puppet prognosticator at Bowman Library, in Stephens City, Virginia. Bill’s Groundhog Day ceremony includes awards, crafts, stories and ice cream: if Bill sees his shadow, the ice cream is topped with chocolate sauce. Not one to hog the limelight, Bill shares his Groundhog Day with two live groundhogs, Tiva and Luna, who come to the library to observe Bill’s technique first hand.",bowman-bill,39.1014751,-78.1945146,false,Bowman Bill,Stephens City,Groundhog puppet,https://www.handleyregional.org/events/groundhog-day-bowman-bill,Virginia,true,38,Bill,https://groundhog-day.com/images/ghogs/bowman-bill.jpeg,https://www.facebook.com/handleyregional/posts/pfbid028t2gL8vyG3Micfu1uZXLa9pgu74S7vgNB5VttCdcBpPBEZDB4QpiCQYeRTL8KHAUl,11,USA
"Buffalo Bert is the official prognosticating groundhog for the city of Buffalo, New York, residing at the Hawk Creek Wildlife Refuge. Bert is the world’s most accurate weather prognosticator with a 100% accurate prediction rate. He was rescued as an orphan and now embraces serving the public. “Bert is a survivor, and was rescued for a reason,” says Tanya Lowe, Director of Wildlife Education, “Now he’s a Buffalo ambassador.” Like the fine citizens of Buffalo, Bert fears no weather and has never met a party he didn’t like.",buffalo-bert,42.7245868,-78.6732692,true,Buffalo Bert,Buffalo,Groundhog,https://www.buffalogroundhogday.com,New York,true,39,Bert,https://groundhog-day.com/images/ghogs/buffalo-bert.jpeg,https://www.facebook.com/buffalogroundhogday/posts/pfbid0DmxksiUAUGAQYLZg1VdD6C2qQPTr3S5dSsY5oPCWhAG2NQsGCrYkfiDNCbhthdVBl,12,USA
"Dover Doug is a groundhog mascot who makes an annual Groundhog Day prediction in Pennsylvania’s Dover Township. Unlike traditional groundhogs, Doug doesn’t use his shadow, but rather an ‘interpretive dance’ Groundhogese variation (featuring hand movements, wiggles and head shakes) to deliver his prognostication to the attendant Burrow Master and Shadow Keeper. And with great results: a prior Burrow Master said Doug “has been making predictions for about 30 years and has always been 100 percent accurate.”",dover-doug,39.9979137,-76.8571679,false,Dover Doug,Dover Township,Person in a groundhog suit,https://www.linkedin.com/in/dover-doug/,Pennsylvania,true,40,Doug,https://groundhog-day.com/images/ghogs/dover-doug.jpeg,https://www.ydr.com/story/news/local/2024/02/02/groundhogs-punxsutawney-phil-poor-richard-dover-doug-susquehanna-sherman-offer-different-predictions/72437462007/,12,USA
"Fenwick Flossie is an adult-sized groundhog mascot organized by the local Lion’s Club in Fenwick, Ontario. Flossie is a non-gender mascot, given life by an octogenarian Lion’s club member who has suited up for the role each year for nearly three decades. The club prefers to not release the person’s identity to protect the mystery of who is channelling the woodchuck spirit.",fenwick-flossie,43.0208392,-79.3629854,false,Fenwick Flossie,Pelham,Person in a groundhog suit,https://www.facebook.com/fabulousfenwicklions/,Ontario,true,41,Flossie,https://groundhog-day.com/images/ghogs/fenwick-flossie.jpeg,https://www.facebook.com/fabulousfenwicklions/videos/358393480477790/,12,Canada
"Lawrenceville Lucy is a wild groundhog living in a burrow overlooking Cowanesque Lake near Lawrenceville, Pennsylvania. Every year on February 2nd, she gives a very spirited prediction and updates her Facebook page with the news. Uncommonly in wild groundhogs, Lucy is partial to hot chocolate with marshmallows and chocolate sprinkles, but doesn’t let it interfere with her work of making accurate, unbiased predictions. ",lawrenceville-lucy,41.9735597,-77.201705,true,Lawrenceville Lucy,Lawrenceville,Groundhog,https://www.facebook.com/LawrencevilleLucy,Pennsylvania,true,42,Lucy,https://groundhog-day.com/images/ghogs/lawrenceville-lucy.jpeg,https://www.facebook.com/LawrencevilleLucy/posts/pfbid02rqKpPCWSHAWnjNuaNGsahy6ZqZFTYjk2hreSdk2iyVdbZ5MFefTUVuh2asyGZQwMl,12,USA
"Mount Joy Minnie is a plush groundhog who makes an annual weather prediction for Mount Joy, Pennsylvania. Minnie wakes up bright and early every year on February 2nd to host a hot chocolate and doughnut breakfast where her handlers read out her official proclamation. In addition, Minnie hosts a crazy hat contest, which is even crazier than you are imagining. When she is off the clock, Minnie likes posting updates on Facebook and hanging out with her friend Ginger the cat.",mount-joy-minnie,40.1091208,-76.5043106,false,Mount Joy Minnie,Mount Joy,Plush groundhog,https://www.facebook.com/mountjoychamber,Pennsylvania,true,43,Minnie,https://groundhog-day.com/images/ghogs/mount-joy-minnie.jpeg,https://www.facebook.com/mountjoychamber/videos/218903954642385/,12,USA
